trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,Trial.started,text_fixation_cross.started,key_resp.started,text_fixation_cross.stopped,text_stim.started,key_resp.stopped,text_stim.stopped,Trial.stopped,textStim,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Thanks.started,text_thank.started,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.0028739000008499715,0.0077717000003758585,10.571324099999401,space,10.54872450000039,None,,,,,,,,,,,,,,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
0,0,0,0,10.583662999999433,,,,,,,,10.572108700000172,10.583662999999433,10.583662999999433,11.083707600000707,11.083707600000707,13.082868600000438,13.082868600000438,13.066718100000799,MASA,None,1,,,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
1,0,1,0,13.082868600000438,,,,,,,,13.06791770000018,13.082868600000438,13.082868600000438,13.583086500000718,13.583086500000718,15.582034600000043,15.582034600000043,15.566417199999705,MASA,None,1,,,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
2,0,2,0,15.582034600000043,,,,,,,,15.568298599999252,15.582034600000043,15.582034600000043,16.082094600000346,16.082094600000346,18.081253500000457,18.081253500000457,18.065218100000493,MASA,None,1,,,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
3,0,3,0,18.081253500000457,,,,,,,,18.066738900000928,18.081253500000457,18.081253500000457,18.581102100000862,18.581102100000862,20.580395499999213,20.580395499999213,20.56462610000017,MASA,None,1,,,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
4,0,4,0,20.580395499999213,,,,,,,,20.566590300000826,20.580395499999213,20.580395499999213,21.08045730000049,21.08045730000049,23.0796162000006,23.0796162000006,23.063769399999728,MASA,None,1,,,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
5,0,5,0,23.0796162000006,,,,,,,,23.065685600000506,23.0796162000006,23.0796162000006,23.579653400000097,23.579653400000097,25.578540399999838,25.578540399999838,25.562501500000508,MASA,None,1,,,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
6,0,6,0,25.578540399999838,,,,,,,,25.56381920000058,25.578540399999838,25.578540399999838,26.078742800000327,26.078742800000327,28.077631399999518,28.077631399999518,28.06137619999936,MESA,space,1,0.8553009999995993,0.1149650000006659,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
7,0,7,0,28.077631399999518,,,,,,,,28.062088900000163,28.077631399999518,28.077631399999518,28.57773989999987,28.57773989999987,30.576931999999942,30.576931999999942,30.56083629999921,MASA,None,1,,,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
8,0,8,0,30.576931999999942,,,,,,,,30.56216459999996,30.576931999999942,30.576931999999942,31.076954000000114,31.076954000000114,33.07604490000085,33.07604490000085,33.06020360000002,MASA,None,1,,,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
